Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
119738,Innovate Industries,Influencer,Women 35-44,60 days,Email,0.08,7089.0,6.34,New York,German,692,8092,2,Tech Enthusiasts,2021-01-18
72273,TechCorp,Influencer,Women 25-34,60 days,Email,0.03,13500.0,2.75,Los Angeles,German,269,8825,4,Foodies,2021-01-03
158155,TechCorp,Email,Women 35-44,45 days,Google Ads,0.07,9687.0,3.72,Houston,Spanish,840,9038,5,Outdoor Adventurers,2021-04-20
65427,Alpha Innovations,Display,All Ages,30 days,Facebook,0.09,8760.0,5.45,Houston,English,616,3303,7,Health & Wellness,2021-04-02
30075,TechCorp,Social Media,Women 25-34,15 days,Google Ads,0.11,18925.0,6.72,Houston,English,538,7364,1,Fashionistas,2021-05-25
23678,Alpha Innovations,Email,Women 35-44,30 days,Website,0.06,17573.0,6.4,Houston,German,220,6313,2,Foodies,2021-11-14
134859,Innovate Industries,Influencer,Women 25-34,60 days,Instagram,0.06,10722.0,4.73,Miami,French,569,9046,1,Outdoor Adventurers,2021-06-23
176419,NexGen Systems,Social Media,Women 35-44,60 days,Google Ads,0.02,14221.0,7.7,Miami,English,935,9389,8,Health & Wellness,2021-05-04
132468,Innovate Industries,Email,Women 35-44,45 days,Email,0.01,11174.0,2.44,Houston,Mandarin,985,4230,2,Fashionistas,2021-12-04
4083,TechCorp,Social Media,Women 25-34,60 days,Facebook,0.15,15909.0,4.23,New York,Spanish,266,6822,1,Fashionistas,2021-03-09
74457,NexGen Systems,Influencer,Men 18-24,45 days,Google Ads,0.1,19442.0,2.21,New York,Spanish,995,7204,6,Health & Wellness,2021-12-28
142134,Alpha Innovations,Display,Men 25-34,30 days,Google Ads,0.08,7456.0,4.36,Chicago,German,721,9670,2,Tech Enthusiasts,2021-05-29
186434,Innovate Industries,Search,All Ages,45 days,Instagram,0.02,8295.0,2.53,Chicago,French,106,8986,9,Outdoor Adventurers,2021-10-11
84661,NexGen Systems,Search,Women 35-44,30 days,Instagram,0.1,15029.0,2.65,New York,German,354,5044,5,Health & Wellness,2021-12-12
117168,TechCorp,Email,All Ages,60 days,Instagram,0.07,13644.0,6.27,Miami,Mandarin,138,2720,2,Health & Wellness,2021-01-03
110853,Alpha Innovations,Display,All Ages,45 days,Facebook,0.02,9323.0,3.35,New York,Mandarin,184,2435,2,Tech Enthusiasts,2021-09-15
105001,TechCorp,Display,Women 25-34,45 days,Website,0.05,15454.0,3.03,Los Angeles,Mandarin,498,1717,2,Foodies,2021-09-03
181464,DataTech Solutions,Influencer,All Ages,60 days,Google Ads,0.1,15971.0,5.63,Houston,English,162,5794,1,Fashionistas,2021-02-28
9448,NexGen Systems,Influencer,Men 25-34,45 days,YouTube,0.12,9055.0,3.87,Houston,German,521,2649,4,Health & Wellness,2021-11-19
178532,TechCorp,Social Media,All Ages,45 days,Google Ads,0.07,16076.0,5.03,Houston,Mandarin,458,2198,7,Health & Wellness,2021-02-16
168259,Innovate Industries,Social Media,Men 25-34,30 days,Instagram,0.11,14808.0,6.46,Houston,German,714,5973,6,Fashionistas,2021-12-25
30069,Innovate Industries,Search,Men 25-34,30 days,Google Ads,0.08,6646.0,3.56,New York,Mandarin,701,8333,1,Tech Enthusiasts,2021-05-19
28456,Innovate Industries,Social Media,Women 25-34,45 days,Website,0.04,18069.0,6.19,New York,German,654,2301,8,Outdoor Adventurers,2021-12-17
156519,Alpha Innovations,Search,Men 18-24,45 days,YouTube,0.05,18666.0,4.48,Miami,Spanish,553,6070,6,Foodies,2021-10-26
7817,DataTech Solutions,Influencer,Women 25-34,45 days,Instagram,0.03,6574.0,3.51,Los Angeles,Mandarin,967,3205,8,Outdoor Adventurers,2021-06-01
5255,DataTech Solutions,Display,All Ages,15 days,Instagram,0.08,19080.0,7.13,Houston,German,434,3733,5,Health & Wellness,2021-05-25
9849,Alpha Innovations,Influencer,Men 25-34,15 days,Google Ads,0.09,7678.0,5.71,Los Angeles,Spanish,888,1995,3,Tech Enthusiasts,2021-12-25
130691,TechCorp,Social Media,Women 25-34,30 days,Instagram,0.09,17581.0,3.41,Chicago,German,601,4931,3,Fashionistas,2021-01-21
191767,Alpha Innovations,Email,Men 18-24,30 days,Website,0.1,19494.0,2.46,Chicago,German,688,5395,4,Outdoor Adventurers,2021-05-22
48711,DataTech Solutions,Display,Women 35-44,45 days,YouTube,0.06,7198.0,4.23,Houston,German,207,7020,8,Fashionistas,2021-06-15
132177,DataTech Solutions,Display,Women 35-44,15 days,Google Ads,0.06,18092.0,7.24,Miami,English,553,5458,4,Health & Wellness,2021-02-16
6604,Alpha Innovations,Search,Men 18-24,15 days,Instagram,0.13,10956.0,2.96,Los Angeles,Mandarin,238,3121,10,Tech Enthusiasts,2021-02-03
22726,Alpha Innovations,Display,Women 25-34,60 days,Instagram,0.14,18552.0,5.13,New York,English,392,6776,4,Fashionistas,2021-04-06
810,TechCorp,Influencer,Men 25-34,60 days,Facebook,0.05,13552.0,7.52,Chicago,Mandarin,141,5741,4,Health & Wellness,2021-03-21
113504,NexGen Systems,Influencer,All Ages,60 days,Instagram,0.15,18731.0,7.6,Miami,German,983,1885,1,Outdoor Adventurers,2021-12-20
90859,Alpha Innovations,Social Media,Men 18-24,45 days,YouTube,0.01,7668.0,2.26,Houston,Mandarin,879,1743,7,Foodies,2021-12-05
37748,Alpha Innovations,Display,Women 35-44,45 days,Facebook,0.01,10738.0,3.65,Houston,French,913,1097,5,Outdoor Adventurers,2021-06-02
129626,TechCorp,Influencer,Women 25-34,60 days,Website,0.03,19803.0,7.28,Chicago,Spanish,687,9991,1,Tech Enthusiasts,2021-02-20
19645,Alpha Innovations,Email,Women 35-44,30 days,YouTube,0.03,6498.0,6.95,New York,German,706,9193,5,Outdoor Adventurers,2021-10-27
60152,Innovate Industries,Influencer,Men 25-34,30 days,Website,0.13,16791.0,7.94,Los Angeles,Spanish,809,1333,8,Foodies,2021-10-19
64048,Alpha Innovations,Social Media,Men 18-24,30 days,YouTube,0.06,15623.0,5.41,Miami,French,665,5126,4,Outdoor Adventurers,2021-06-22
160889,DataTech Solutions,Search,Men 18-24,45 days,Website,0.1,5559.0,6.88,Miami,German,978,2618,5,Foodies,2021-10-16
54784,Alpha Innovations,Search,Men 25-34,15 days,Google Ads,0.03,16365.0,4.04,Los Angeles,Spanish,757,2225,3,Outdoor Adventurers,2021-02-03
129465,NexGen Systems,Social Media,All Ages,45 days,Instagram,0.06,13643.0,7.37,Los Angeles,Spanish,783,5859,5,Tech Enthusiasts,2021-09-12
142388,DataTech Solutions,Email,Women 25-34,30 days,Website,0.02,16098.0,4.71,Houston,French,832,7921,9,Health & Wellness,2021-02-07
142235,Alpha Innovations,Email,All Ages,30 days,Email,0.09,13960.0,4.54,Los Angeles,English,771,6127,2,Health & Wellness,2021-09-07
139137,NexGen Systems,Influencer,Men 25-34,30 days,Google Ads,0.12,10254.0,4.65,Chicago,Mandarin,732,9168,1,Fashionistas,2021-03-13
77727,NexGen Systems,Email,Men 18-24,30 days,Facebook,0.07,9572.0,7.41,Los Angeles,Mandarin,869,3671,6,Outdoor Adventurers,2021-12-13
198811,DataTech Solutions,Influencer,Men 18-24,45 days,Google Ads,0.1,18395.0,7.3,New York,Spanish,787,2949,6,Foodies,2021-09-08
66401,DataTech Solutions,Social Media,Men 25-34,15 days,Google Ads,0.13,17547.0,2.49,Houston,Spanish,547,9295,5,Health & Wellness,2021-12-02
166159,Alpha Innovations,Influencer,All Ages,60 days,Website,0.12,8469.0,2.04,New York,Spanish,972,6513,10,Outdoor Adventurers,2021-03-25
188688,NexGen Systems,Influencer,Men 18-24,45 days,Email,0.15,7997.0,2.64,Chicago,French,848,3178,2,Foodies,2021-12-14
150192,TechCorp,Influencer,Women 35-44,15 days,Instagram,0.15,18413.0,3.07,Los Angeles,Mandarin,782,7927,5,Fashionistas,2021-06-26
163810,Alpha Innovations,Search,Women 25-34,45 days,Instagram,0.01,5255.0,7.35,Los Angeles,Mandarin,504,5970,9,Outdoor Adventurers,2021-10-17
65430,DataTech Solutions,Influencer,Women 25-34,30 days,Website,0.03,8949.0,4.41,Miami,English,869,5242,4,Outdoor Adventurers,2021-04-05
181499,DataTech Solutions,Email,Women 25-34,15 days,Google Ads,0.02,14905.0,7.44,Los Angeles,Spanish,504,5318,2,Outdoor Adventurers,2021-04-04
112317,TechCorp,Search,Men 25-34,30 days,Instagram,0.08,16712.0,4.91,Chicago,Spanish,329,3775,8,Foodies,2021-09-19
128745,DataTech Solutions,Influencer,Men 18-24,60 days,YouTube,0.08,9772.0,4.16,Chicago,French,686,2655,1,Fashionistas,2021-09-22
68412,NexGen Systems,Influencer,Men 18-24,45 days,Email,0.14,19509.0,5.4,Houston,German,311,3353,2,Fashionistas,2021-06-06
72465,TechCorp,Search,All Ages,15 days,Instagram,0.05,15255.0,6.1,New York,English,226,5061,5,Tech Enthusiasts,2021-07-14
89987,NexGen Systems,Influencer,Women 25-34,30 days,Instagram,0.05,11898.0,2.83,Chicago,French,977,4064,10,Health & Wellness,2021-07-16
160068,DataTech Solutions,Social Media,All Ages,15 days,Instagram,0.1,6597.0,7.32,Miami,German,263,1207,4,Outdoor Adventurers,2021-07-17
101073,NexGen Systems,Search,All Ages,60 days,Facebook,0.14,11590.0,3.52,New York,French,152,1217,1,Tech Enthusiasts,2021-11-29
106474,TechCorp,Display,Men 25-34,45 days,Instagram,0.1,13491.0,4.03,Los Angeles,German,792,10000,8,Outdoor Adventurers,2021-09-16
9198,NexGen Systems,Social Media,Men 25-34,60 days,Website,0.03,17099.0,4.21,Chicago,French,591,7845,6,Fashionistas,2021-03-14
21615,Innovate Industries,Email,Women 35-44,30 days,Facebook,0.14,12673.0,6.93,New York,Spanish,749,1749,4,Health & Wellness,2021-03-21
112235,Innovate Industries,Search,Men 18-24,30 days,YouTube,0.09,7086.0,5.31,Miami,French,227,1672,7,Outdoor Adventurers,2021-06-29
98626,NexGen Systems,Email,Women 35-44,45 days,YouTube,0.09,16178.0,3.39,Miami,Mandarin,437,8375,6,Health & Wellness,2021-03-17
129879,Innovate Industries,Social Media,Women 25-34,60 days,Google Ads,0.07,10330.0,5.34,New York,Spanish,769,2819,4,Tech Enthusiasts,2021-10-31
66177,NexGen Systems,Display,Men 25-34,45 days,Email,0.07,11062.0,6.85,Miami,French,544,5694,3,Outdoor Adventurers,2021-04-22
10076,Innovate Industries,Email,Women 35-44,15 days,Facebook,0.06,6349.0,2.21,Houston,English,874,7624,1,Foodies,2021-08-09
145013,DataTech Solutions,Display,Women 25-34,45 days,Facebook,0.02,12162.0,6.88,Houston,French,204,4058,4,Health & Wellness,2021-04-18
54403,TechCorp,Influencer,Men 18-24,30 days,Website,0.11,6901.0,3.66,New York,French,502,6484,2,Tech Enthusiasts,2021-01-18
112813,TechCorp,Social Media,All Ages,30 days,Google Ads,0.06,11071.0,5.47,Houston,French,591,8850,4,Outdoor Adventurers,2021-01-28
2816,TechCorp,Influencer,Women 35-44,60 days,Facebook,0.11,13218.0,3.37,Miami,German,136,7795,8,Foodies,2021-09-18
41260,DataTech Solutions,Display,Men 25-34,15 days,Website,0.06,10209.0,4.09,Houston,German,284,5157,5,Health & Wellness,2021-01-15
